SNO,INDEX,HATE_SPEECH,COUNTER_NARRATIVE,STRATEGY,TARGET
294,1387,Islam is a totalitarian ideology that has forced its adherents to impose their teachings on all members of society without regard for their individual beliefs.,"Not only is this not true, but it is also quite dangerous to say something so strong without proof.",Warning of Consequences,MUSLIMS
295,1396,Muslims have no place in the tolerant Europe. Their only value is violence. Islam is not about tolerance.,Why are you talking about tolerance while you are equating it with discrimination?,Pointing Out Hypocrisy or Contradictions,MUSLIMS
296,1415,"Muslim society, culture, religion and immigration are largely to blame for the rise of so called radicalisation.","You're confused, because if a Muslim was threatened by a radical Christian, would you say that the radicalisation was caused by Christianity?",Pointing Out Hypocrisy or Contradictions,MUSLIMS
297,1423,We should ban all Muslims.,It is easier to ban one religion than to face the problems caused by hateful people that cannot conceive a society made of people belonging to multiple religions.,Denouncing,MUSLIMS
298,1431,I'm tired of woman whining. Our entire history is dominated by feminist narrative.,You are arguing that our society was founded on female empowerment? Where is the evidence?,Fact-Checking,WOMEN
299,1432,Girls are essentially tomboyish and don't like challenges.,"Anyone can express theirself with their own style! If you don't like the girls you called tomboyish you are not obliged to. Plus, someone's style has nothing to do with their willingness for challenges.",Fact-Checking,WOMEN
300,1433,Women should not be allowed at technical conferences.,"Why do you say so? Women in science provide a remarkable contribution to our societies. For example, the refrigerator was invented in 1914 by Florence Parpart, a woman.",Fact-Checking,WOMEN
301,1435,They say you cannot judge a book by its cover. But the feminists are judging us all the time.,"Unlike other people, feminists are questioning the inequalities of the society. This features them not as shallow people as those judging a book by its cover.",Fact-Checking,WOMEN
302,1436,"A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world.","With this reasoning, the point of view considered is that of the men. The world is composed of both men and women, and by many other people. Taking into account only one of the types of people, for example men and assuming their needs this way, won't heal the world.",Pointing Out Hypocrisy or Contradictions,WOMEN
303,1448,Women are subhuman.,"I would say you've got an interesting point there, but I really don't see it. Why would they be part of society if they're subhumans?",Humour/Sarcasm,WOMEN
304,1455,"If women were able for men's stuff, they would not be oppressed.","Just because women are oppressed doesn't mean that they are powerless. Take a look around you. Why are women suffering from a lack of education, a lack of jobs and housing, low wages? It's because of oppression and sexism in our society. The more we work towards inclusion, the less entrenched those underlying inequalities will be.",Pointing Out Hypocrisy or Contradictions,WOMEN
305,1458,Left-wing feminists use rape as a weapon to silence men. They are afraid to speak out about our standard culture.,"I fear not. There are many victims of systematic rape and violence. The crime is systemic. Rape culture is a crime ideology, rape is a crime, not ""a weapon to silence others"".",Fact-Checking,WOMEN
306,1463,Niggers are rapists and drug dealers.,"Generalizing in this way, to a community, what happened to some individuals, is pointless. In the same way one could respond: black people are presidents of the United States of America.",Pointing Out Hypocrisy or Contradictions,POC
307,1466,"In history school books you can read about slavery. It is a smart solution for the world. Negroes claim their culture but they don't have any, just like animals.",Sometimes I wish we lived in a world where white people would just chill and love instead of showing such total disrespect for other cultures and histories by constantly oppressing them.,Denouncing,POC
308,1472,These children should not be exposed to messages and experiences that reinforce different racial identities: they are harmful to them. We must teach them that blacks are inferior.,"This is a simplistic and ill-informed argument, and ultimately it just stirs up more division and negativity, like many other racial and religious divisions that have happened throughout history.",Warning of Consequences,POC
